card_id,y,prob
sv10.5w-156,0,0.57530886
swsh5-115,0,0.5737148
sv02-008,0,0.57277435
sv07-052,0,0.57073045
sv02-239,0,0.5692014
sv10.5w-102,0,0.5677376
sv05-180,0,0.56501925
sv05-116,0,0.56405723
sv07-147,0,0.5628727
sv02-214,0,0.5611398
sv05-075,0,0.55935335
sv02-129,0,0.5591808
sv10.5w-134,0,0.55738586
sv02-160,0,0.5570352
sv10.5w-060,0,0.5564066
sv02-225,0,0.5558923
swsh5-49,0,0.55460143
sv07-066,0,0.5530421
sv02-206,0,0.55264884
sv03.5-063,1,0.5525877
sv10.5w-100,0,0.55104226
sv03.5-174,0,0.54911786
sv10.5w-090,0,0.5486467
sv05-125,0,0.54818773
sv05-055,0,0.5459877
sv03.5-180,0,0.54527307
sv05-011,0,0.54374635
sv10.5w-148,0,0.5426812
sv07-077,0,0.54076165
sv03.5-054,0,0.5400892
sv02-112,1,0.53888685
sv05-089,0,0.53804123
sv05-177,0,0.53748727
sv02-010,0,0.53632826
swsh5-7,0,0.534402
sv03.5-178,0,0.5343352
swsh5-71,0,0.5340916
swsh5-1,0,0.5313674
sv05-179,0,0.5301805
sv07-015,0,0.5300445
sv02-197,0,0.5268544
swsh5-68,0,0.5261422
sv03.5-017,0,0.5242897
swsh5-38,0,0.5232243
sv05-182,0,0.5222185
sv02-026,0,0.5212395
sv03.5-133,0,0.518647
svp-026,0,0.5178253
sv02-144,0,0.5174529
sv05-165,0,0.5162345
swsh5-32,0,0.51604944
sv07-114,0,0.5151558
sv02-013,0,0.51486456
svp-061,0,0.51167566
sv10.5w-002,0,0.51033115
sv07-012,0,0.5081809
sv05-003,0,0.5081465
sv07-011,0,0.50759625
sv07-004,0,0.50653046
sv05-058,0,0.50440925
sv02-220,0,0.5029739
sv03.5-170,0,0.5011434
sv02-149,0,0.5008868
sv05-174,0,0.4974699
sv02-004,0,0.49281302
sv07-109,0,0.49140987
swsh5-62,0,0.4886749
sv07-043,0,0.4835849
sv02-106,0,0.48339552
sv03.5-051,0,0.48056743
sv10.5w-106,0,0.4803168
sv10.5w-141,1,0.47910908
svp-186,0,0.4782886
sv10.5w-126,0,0.47468045
sv05-132,0,0.47237673
sv10.5w-026,0,0.47227165
sv07-002,0,0.47078398
svp-079,0,0.47044805
swsh5-12,0,0.47042114
svp-070,0,0.47027397
sv10.5w-112,1,0.46967763
swsh5-31,0,0.4696323
sv03.5-044,0,0.46885782
sv10.5w-033,0,0.4663304
svp-173,1,0.46473145
sv05-014,0,0.4640382
sv10.5w-072,0,0.4631455
sv05-010,0,0.46274555
sv02-095,0,0.46053267
sv05-091,0,0.46025968
sv10.5w-109,0,0.4591876
sv02-157,1,0.45652685
sv03.5-045,0,0.45574537
sv05-002,0,0.45533276
sv05-168,0,0.45466128
sv07-102,0,0.452709
sv03.5-190,0,0.45253173
sv10.5w-089,0,0.45076215
sv02-207,0,0.450253
sv03.5-098,0,0.4475361
sv10.5w-099,0,0.44739825
sv05-006,0,0.44622096
sv07-094,0,0.44549394
sv02-034,0,0.44488135
sv05-070,0,0.4445097
svp-043,0,0.44435996
sv05-175,0,0.44414487
sv03.5-048,0,0.44393927
swsh5-106,0,0.44122538
svp-001,0,0.43964824
sv03.5-046,0,0.43893844
swsh5-52,0,0.43784887
sv05-100,0,0.43771216
sv02-201,0,0.43697846
sv07-034,0,0.4353717
swsh5-98,0,0.43525678
swsh5-17,0,0.4343604
svp-137,0,0.43383297
sv03.5-060,0,0.4328766
sv03.5-070,0,0.43276784
sv07-009,0,0.43199587
swsh5-69,0,0.43189928
sv03.5-127,0,0.43085265
sv10.5w-110,0,0.4307546
sv03.5-115,0,0.43051583
sv02-203,0,0.43051037
sv07-116,0,0.42947218
sv05-039,0,0.42841548
sv02-230,0,0.4280215
sv07-110,0,0.42722982
sv03.5-173,0,0.4267107
sv02-211,1,0.42651975
sv03.5-104,0,0.42576078
sv05-020,0,0.4254639
svp-053,0,0.42183977
swsh5-82,0,0.42107832
sv02-257,0,0.42019674
sv02-237,0,0.4198517
sv03.5-201,0,0.41971514
sv03.5-191,0,0.41966635
sv05-008,0,0.41897088
sv03.5-020,0,0.41875923
swsh5-64,0,0.4183044
sv02-058,0,0.41777676
sv05-170,0,0.41683608
sv05-048,0,0.4160699
swsh5-54,0,0.41562328
sv10.5w-153,0,0.41499537
sv07-108,0,0.4147903
sv10.5w-074,0,0.4147178
sv03.5-092,0,0.41453508
svp-023,0,0.41352794
sv05-082,0,0.41306278
svp-055,0,0.4125538
swsh5-116,0,0.41219068
sv07-045,0,0.41113743
sv05-083,0,0.40946174
sv02-196,1,0.40918028
svp-207,0,0.40854853
sv10.5w-036,1,0.4083461
sv10.5w-092,0,0.4083287
sv07-105,0,0.40832475
svp-040,0,0.4075395
svp-093,0,0.40602395
sv03.5-057,0,0.40347248
sv05-084,1,0.4029625
sv03.5-021,0,0.40241715
sv07-008,0,0.4020533
svp-118,0,0.4020331
swsh5-59,0,0.40179136
swsh5-4,0,0.40177724
sv03.5-177,0,0.40161547
sv03.5-181,0,0.401303
sv07-064,0,0.39993837
sv02-219,0,0.39941326
sv02-262,0,0.3983221
sv05-064,0,0.39720115
sv05-018,0,0.3971642
svp-189,1,0.396326
sv02-074,0,0.39624485
svp-075,0,0.395987
sv02-020,0,0.39467493
sv02-065,0,0.3946382
svp-039,0,0.38970184
swsh5-73,0,0.38922802
sv07-065,0,0.38914302
swsh5-95,0,0.3880361
sv07-035,0,0.38711262
sv02-100,0,0.38534224
sv03.5-132,0,0.38531333
svp-016,0,0.38517615
sv02-068,0,0.38449985
sv02-150,0,0.38407415
sv02-066,0,0.383845
swsh5-143,0,0.38381144
sv03.5-120,0,0.38325804
svp-019,0,0.38307813
sv03.5-113,0,0.3826439
sv02-199,0,0.38253668
svp-062,0,0.38238648
swsh5-43,0,0.3819398
sv10.5w-031,0,0.38143837
sv05-085,1,0.38128248
svp-174,0,0.38040158
sv03.5-143,0,0.37943816
sv02-045,0,0.37867618
sv03.5-071,0,0.3775615
sv10.5w-117,0,0.37687138
sv05-204,0,0.37522775
sv02-244,0,0.37507454
sv03.5-116,0,0.3742146
sv03.5-186,0,0.37416708
sv03.5-053,0,0.37377095
sv03.5-171,0,0.37330112
sv07-031,0,0.37293416
svp-159,0,0.37202728
swsh5-3,0,0.37116376
sv02-084,0,0.3701738
svp-111,0,0.3699166
sv02-151,0,0.36917984
sv02-145,0,0.3681437
sv02-209,0,0.36659753
swsh5-56,0,0.36603132
sv07-127,0,0.3649187
sv03.5-168,0,0.36394072
sv10.5w-004,0,0.36355838
sv10.5w-150,0,0.3632258
sv03.5-014,0,0.36288628
sv03.5-040,0,0.36206073
sv10.5w-028,1,0.3619611
swsh5-167,0,0.3618954
sv03.5-029,0,0.3608191
sv02-125,0,0.35816365
swsh5-117,0,0.35802674
sv05-129,1,0.35781914
sv02-003,0,0.35781404
sv03.5-123,0,0.35703093
svp-106,0,0.3569996
sv07-010,0,0.35686657
sv07-117,0,0.3566596
sv10.5w-041,0,0.35663047
swsh5-55,0,0.35643247
swsh5-46,0,0.35428217
sv10.5w-078,0,0.3531879
swsh5-105,0,0.35209492
sv02-054,0,0.3516194
sv03.5-101,0,0.3501929
swsh5-14,0,0.3500779
sv02-120,0,0.34962842
sv02-009,0,0.34862334
sv10.5w-065,0,0.34821004
sv03.5-056,0,0.34787098
sv10.5w-088,0,0.3473357
sv03.5-010,0,0.34732664
swsh5-70,0,0.34726906
sv05-059,0,0.34636447
sv10.5w-070,0,0.34476143
sv07-058,0,0.3445334
sv10.5w-127,0,0.34430587
sv02-002,0,0.34381884
sv07-169,0,0.34307334
sv10.5w-096,1,0.3424558
sv07-098,0,0.34154686
sv07-018,0,0.34143102
sv07-063,0,0.34023312
sv03.5-039,0,0.3395112
sv10.5w-063,0,0.33870822
sv07-124,0,0.33836567
sv07-054,0,0.33736315
swsh5-155,1,0.3371157
svp-027,0,0.33669707
sv07-160,0,0.33605486
sv03.5-069,0,0.33586806
svp-155,0,0.3358082
sv03.5-096,0,0.33543113
swsh5-114,0,0.33517176
swsh5-119,0,0.333018
sv10.5w-165,0,0.33241272
sv07-150,0,0.33219934
svp-143,0,0.3310816
sv03.5-019,0,0.3305785
svp-156,0,0.3305516
svp-107,0,0.33035153
sv10.5w-094,0,0.3291249
sv07-078,0,0.3282481
sv10.5w-136,0,0.32786062
sv02-053,0,0.32779202
sv02-264,0,0.32728583
sv03.5-001,0,0.32705376
sv10.5w-075,0,0.32641897
sv05-036,0,0.32641226
sv07-048,0,0.32538784
sv02-110,0,0.32538247
sv02-113,0,0.3250043
sv03.5-035,0,0.32361466
sv02-022,0,0.32306343
sv05-196,0,0.32200384
swsh5-113,0,0.32099548
sv07-056,0,0.32069033
sv03.5-099,0,0.32053983
sv05-138,0,0.31991366
sv10.5w-097,0,0.31964278
sv02-111,0,0.3193732
sv03.5-176,0,0.31889808
sv07-170,0,0.3186291
sv10.5w-157,0,0.3179058
swsh5-23,0,0.31733948
sv10.5w-170,0,0.31591183
swsh5-92,0,0.31469142
sv10.5w-010,0,0.31392273
swsh5-178,0,0.31365255
sv07-079,0,0.31337762
sv05-133,0,0.31323257
sv10.5w-155,0,0.31286988
sv02-169,0,0.31282213
sv05-016,0,0.31266266
swsh5-36,0,0.31263658
sv10.5w-003,0,0.31187114
sv02-124,0,0.3118603
sv07-087,0,0.31184998
svp-046,0,0.31152663
sv07-083,0,0.31063816
sv05-015,0,0.3102558
sv10.5w-147,0,0.31017366
sv07-068,0,0.30979377
svp-109,0,0.3088655
sv05-124,0,0.30733153
sv05-117,0,0.30715516
sv10.5w-095,0,0.3070456
sv03.5-084,0,0.3057783
sv02-258,0,0.3056713
sv05-071,0,0.3051985
sv07-081,0,0.3051118
sv02-232,0,0.30494702
sv07-007,0,0.3042347
swsh5-112,0,0.30283943
svp-041,1,0.3027655
sv05-009,0,0.3019561
sv03.5-108,0,0.3016535
sv10.5w-104,0,0.30163124
svp-195,0,0.30083334
sv03.5-179,0,0.3002819
sv07-027,0,0.30011135
sv10.5w-131,0,0.29777098
svp-081,0,0.29758495
sv05-183,0,0.2970173
svp-073,0,0.29574224
sv02-027,0,0.29547536
sv07-118,0,0.29502565
swsh5-13,0,0.29502445
sv07-070,0,0.29474664
svp-194,0,0.29456127
sv10.5w-057,0,0.29437357
swsh5-42,0,0.29333818
sv07-006,0,0.2929215
svp-048,0,0.2928582
sv03.5-077,0,0.2920349
swsh5-11,0,0.2920151
svp-141,0,0.2918835
swsh5-34,0,0.29146808
sv10.5w-007,0,0.2912225
sv05-068,0,0.2907956
sv10.5w-168,0,0.29009897
sv02-247,0,0.2897523
sv02-016,1,0.28944996
swsh5-164,0,0.28688532
swsh5-60,0,0.2866097
svp-059,0,0.28649133
svp-108,0,0.2862743
swsh5-76,1,0.28625014
sv02-159,0,0.2857753
sv02-093,0,0.28566387
sv02-070,0,0.28461444
sv07-112,0,0.28435275
sv03.5-011,0,0.2834831
sv05-128,1,0.2831306
sv10.5w-146,0,0.28288046
sv02-107,0,0.2820867
sv05-136,0,0.2818685
svp-012,0,0.28111184
svp-042,0,0.28078017
sv02-130,0,0.27920538
sv07-026,0,0.278285
sv02-085,0,0.27805853
sv03.5-085,0,0.27791357
sv07-019,0,0.27783677
sv02-202,0,0.27728826
svp-032,0,0.27726707
swsh5-2,0,0.2764277
svp-087,0,0.27608588
sv03.5-124,0,0.27567407
sv07-029,0,0.2754734
svp-050,0,0.27535647
svp-147,0,0.27516693
sv02-121,0,0.2742961
sv05-047,0,0.27424687
sv07-084,0,0.27388042
sv03.5-095,0,0.27361074
sv03.5-112,0,0.2733964
sv02-163,0,0.27140942
svp-095,0,0.2712239
svp-154,0,0.27081448
sv03.5-081,0,0.2707716
sv02-256,0,0.2705879
sv05-102,0,0.27022728
sv07-042,0,0.26880965
sv10.5w-121,0,0.26849538
svp-099,0,0.26832145
sv03.5-137,0,0.2682915
swsh5-154,0,0.26828444
svp-130,0,0.26689422
sv03.5-128,0,0.2658747
sv07-122,0,0.26510647
sv03.5-138,0,0.2650289
sv03.5-016,0,0.26430717
sv10.5w-135,0,0.26397303
sv10.5w-012,0,0.26303557
sv07-089,0,0.26275656
sv03.5-062,0,0.2626052
sv03.5-118,0,0.26101813
sv03.5-027,0,0.26088497
sv02-047,0,0.2605556
sv10.5w-142,0,0.25908253
sv02-078,0,0.2589096
sv07-085,0,0.25884858
sv07-072,0,0.2572346
sv10.5w-054,0,0.25717485
sv05-004,0,0.25698695
sv10.5w-027,0,0.2566776
sv02-011,0,0.25616068
swsh5-41,0,0.25609344
sv05-171,0,0.25584808
sv10.5w-173,0,0.25439548
sv07-062,0,0.25409654
sv10.5w-044,0,0.25385374
sv05-045,0,0.25381985
sv02-118,0,0.25349128
sv02-109,0,0.25307047
sv02-116,0,0.25259376
sv10.5w-005,0,0.2525822
svp-197,0,0.25228974
sv05-137,0,0.25162393
sv02-083,0,0.25120616
svp-112,0,0.2507719
sv03.5-142,0,0.25050595
sv03.5-061,0,0.25028875
sv05-130,1,0.25011182
sv03.5-080,0,0.24963433
sv10.5w-008,0,0.24936472
swsh5-145,0,0.2491184
sv10.5w-035,0,0.24867825
svp-136,0,0.24858603
sv03.5-184,0,0.24843255
sv07-120,0,0.24817157
sv03.5-075,0,0.2481513
sv10.5w-137,0,0.24743557
sv03.5-015,0,0.24737094
swsh5-8,0,0.24709731
sv02-133,0,0.24682221
sv07-013,0,0.24680853
sv07-101,0,0.24679072
sv05-042,0,0.24650319
sv02-072,0,0.24593158
swsh5-29,0,0.24486658
sv05-190,0,0.24438316
sv05-216,0,0.24427049
sv05-022,0,0.24412428
sv03.5-114,0,0.2439391
sv07-099,0,0.2437826
sv05-107,0,0.24336527
sv02-007,0,0.24319452
sv02-210,0,0.24296053
svp-185,0,0.24267581
swsh5-66,0,0.24158667
swsh5-148,0,0.24080496
sv03.5-030,0,0.24016203
sv03.5-083,0,0.2391413
sv07-005,0,0.23906001
sv07-049,0,0.23854697
sv10.5w-116,0,0.23847413
sv03.5-088,0,0.23815402
sv02-138,0,0.23814005
sv05-118,0,0.23787402
sv02-097,0,0.23766018
svp-170,0,0.23742567
sv07-097,0,0.2372252
sv05-166,0,0.2368149
sv07-149,0,0.23641221
sv03.5-036,0,0.23624691
svp-004,0,0.2360619
sv05-218,0,0.23588528
sv03.5-047,0,0.23570456
sv02-127,0,0.23551269
sv02-142,0,0.23530103
swsh5-33,0,0.23480386
sv02-057,0,0.234517
sv03.5-198,0,0.23451407
sv02-035,0,0.23450097
svp-010,0,0.23435618
sv02-162,0,0.23414451
sv02-039,0,0.23317109
swsh5-165,0,0.23234843
sv03.5-003,0,0.23196024
sv03.5-094,0,0.2315932
sv03.5-012,0,0.23151799
sv03.5-025,0,0.23059842
sv03.5-074,0,0.2302495
svp-003,0,0.23012541
sv02-114,0,0.23007861
svp-065,0,0.22997229
svp-096,0,0.22986539
sv07-075,0,0.22965972
sv03.5-140,0,0.2292889
sv02-062,0,0.2286877
sv03.5-182,0,0.22860925
sv02-056,0,0.2284025
sv02-069,0,0.22822826
sv03.5-004,0,0.22771384
sv10.5w-068,0,0.22724071
sv03.5-119,0,0.2269373
sv10.5w-160,0,0.22679125
sv10.5w-038,0,0.22593386
sv02-224,0,0.22572511
svp-025,0,0.22568221
svp-101,0,0.22541665
sv07-022,0,0.22536291
svp-022,1,0.22515875
sv05-108,0,0.22497721
sv05-030,0,0.22404344
swsh5-75,0,0.22375946
sv03.5-200,0,0.22324438
svp-002,0,0.22287112
swsh5-108,0,0.22264981
svp-193,0,0.2225657
svp-038,0,0.22240604
swsh5-27,0,0.22240168
sv05-063,0,0.22206014
sv07-044,0,0.22186676
svp-177,0,0.22173776
sv05-051,0,0.22169873
swsh5-35,0,0.22128163
sv02-243,0,0.2209975
svp-119,0,0.22082801
sv02-076,0,0.22074345
sv07-144,0,0.22069885
sv07-125,0,0.21873295
sv03.5-193,0,0.2177179
sv05-044,0,0.2175944
sv05-005,0,0.21652853
sv07-041,0,0.21639144
swsh5-18,0,0.21578096
sv05-090,0,0.21544771
swsh5-10,0,0.21448246
svp-187,0,0.2141594
svp-015,0,0.21276455
sv03.5-064,0,0.2124209
sv02-126,0,0.21209739
swsh5-94,0,0.21206737
sv03.5-032,0,0.21166903
sv03.5-066,0,0.21166794
sv05-072,0,0.21091667
sv07-060,0,0.21039659
sv10.5w-025,0,0.20992072
sv07-074,0,0.2098265
sv05-127,0,0.20930126
svp-157,0,0.20836383
svp-090,0,0.2078725
sv07-014,0,0.20713003
sv10.5w-125,0,0.20695353
svp-153,0,0.20684645
sv03.5-079,0,0.20664023
sv02-079,0,0.20623381
sv02-046,0,0.2056896
sv02-155,0,0.20567673
swsh5-79,0,0.20544966
swsh5-67,0,0.20538148
sv02-119,0,0.20534274
sv10.5w-162,0,0.20521724
sv03.5-151,0,0.20507686
swsh5-144,0,0.20506416
sv03.5-188,0,0.20475522
sv05-176,0,0.20459929
sv02-038,0,0.20454815
sv02-075,0,0.20452237
swsh5-57,1,0.20419405
sv05-013,0,0.20415638
swsh5-90,0,0.20370777
sv05-188,0,0.20360889
sv07-061,0,0.20352326
sv10.5w-046,0,0.20332882
sv03.5-002,0,0.20222619
sv10.5w-066,0,0.2013614
sv02-094,0,0.20109467
sv10.5w-076,0,0.20069563
swsh5-74,0,0.20064446
sv02-122,0,0.20053719
swsh5-157,0,0.2004824
svp-072,0,0.20040011
swsh5-78,0,0.20010535
sv02-090,0,0.19945206
sv07-100,0,0.19883484
sv10.5w-011,0,0.19790237
sv03.5-205,0,0.19774134
sv02-161,0,0.19749323
sv05-178,0,0.19714689
sv10.5w-039,0,0.19684388
svp-105,0,0.19679576
sv02-049,0,0.19632076
sv02-205,0,0.19620804
sv03.5-122,0,0.19594139
sv07-095,0,0.1953278
sv10.5w-023,0,0.19408278
sv02-060,0,0.19320859
sv03.5-026,0,0.1931817
svp-131,0,0.19287251
sv03.5-078,0,0.19263507
sv10.5w-037,0,0.19233063
sv02-139,0,0.19222805
sv10.5w-058,0,0.19139068
sv07-059,0,0.19104004
sv07-080,0,0.19100665
sv02-263,0,0.19056542
svp-180,0,0.1903035
sv07-168,0,0.19022986
swsh5-97,0,0.18949062
sv05-067,0,0.1892002
svp-134,0,0.18880586
svp-183,0,0.18814039
sv10.5w-128,0,0.1879108
sv05-097,0,0.18771985
sv10.5w-077,0,0.18770307
swsh5-45,0,0.1866731
svp-138,0,0.18627138
sv05-060,0,0.18621314
sv07-119,0,0.18611634
sv10.5w-053,0,0.18601206
sv02-031,0,0.18593629
sv03.5-109,0,0.18587193
sv03.5-147,0,0.1858276
sv03.5-007,0,0.18535633
sv07-121,0,0.18522638
svp-135,0,0.18473074
sv03.5-148,0,0.18442339
sv02-141,0,0.18438968
swsh5-166,0,0.18411773
sv05-065,0,0.18351936
swsh5-169,0,0.18302086
sv02-152,0,0.18283308
sv02-067,0,0.18275045
sv10.5w-151,0,0.1826502
sv07-092,0,0.18227692
sv02-222,0,0.18210691
sv02-024,0,0.18192574
sv10.5w-016,0,0.18170984
sv07-159,0,0.18094753
sv02-147,0,0.18062863
sv07-001,0,0.18054181
sv05-086,0,0.1804317
svp-028,0,0.17998403
sv02-233,0,0.1798103
sv10.5w-149,0,0.17964564
sv07-103,0,0.1796055
sv05-077,0,0.17944017
sv03.5-058,0,0.17928582
svp-179,0,0.17927666
sv07-123,0,0.1792283
svp-024,0,0.17877501
sv05-112,0,0.1787278
swsh5-120,0,0.1785784
swsh5-89,0,0.17853685
svp-162,0,0.17849672
sv05-096,0,0.17844564
sv02-096,0,0.17830256
sv02-019,0,0.17820756
svp-011,0,0.17815542
svp-089,0,0.17812787
sv03.5-033,0,0.1778534
sv07-069,0,0.1775558
sv07-082,0,0.17716058
sv02-005,0,0.1767504
sv05-110,0,0.1767371
sv05-131,0,0.17657918
sv03.5-041,0,0.1761331
sv03.5-131,0,0.17591505
sv10.5w-030,0,0.17569874
sv05-069,0,0.17549469
svp-160,0,0.17534345
svp-009,0,0.17506097
sv03.5-097,0,0.174989
sv03.5-100,0,0.17497319
swsh5-65,0,0.1749271
sv02-218,0,0.17398249
svp-033,0,0.17384398
sv02-081,0,0.17373233
sv10.5w-172,0,0.17359978
sv03.5-052,0,0.17357248
sv02-014,0,0.17295332
sv03.5-187,0,0.17291407
sv03.5-117,0,0.17230345
sv03.5-023,0,0.17221011
sv05-113,0,0.17159313
sv02-240,0,0.17126045
sv07-104,0,0.17116153
sv05-046,0,0.17066401
sv02-238,0,0.1705708
swsh5-83,0,0.17036085
sv03.5-129,0,0.16936573
sv02-091,0,0.16779986
sv10.5w-029,0,0.16775383
sv02-165,0,0.16712326
sv02-234,0,0.16664568
swsh5-171,0,0.16640271
sv10.5w-019,0,0.16624509
swsh5-77,0,0.16597715
sv10.5w-158,0,0.16595963
sv07-073,0,0.1652214
sv05-103,0,0.16399667
swsh5-170,0,0.16380595
sv07-076,0,0.16370882
sv03.5-009,0,0.16309254
swsh5-9,0,0.1630125
sv05-214,0,0.16299625
sv05-126,0,0.16287579
sv05-021,0,0.16278136
sv02-105,0,0.16250835
sv02-042,0,0.1621796
sv05-012,0,0.16209923
sv05-026,0,0.16176298
sv10.5w-132,0,0.16139229
sv05-115,0,0.16125663
sv03.5-067,0,0.16052301
sv05-094,0,0.1601081
sv07-156,0,0.15914425
sv02-108,0,0.15855765
svp-097,0,0.15845855
swsh5-39,0,0.1582916
sv05-087,0,0.15785572
swsh5-88,0,0.15771881
sv02-227,0,0.15766677
sv10.5w-071,0,0.15760955
swsh5-102,0,0.15747796
sv05-066,0,0.1574626
sv03.5-068,0,0.15716414
sv05-073,0,0.1564043
svp-066,0,0.15627827
sv02-102,0,0.15612455
sv05-105,0,0.15609232
sv02-012,0,0.15504539
swsh5-104,0,0.15500358
sv07-111,0,0.15477504
sv05-208,0,0.15475352
swsh5-5,0,0.15426894
sv05-024,0,0.15384741
svp-063,0,0.15380244
sv03.5-087,0,0.15361454
sv03.5-022,0,0.15297136
svp-139,0,0.1528242
sv10.5w-129,0,0.15280436
svp-006,0,0.15259607
sv02-001,0,0.15257718
sv05-053,0,0.15171967
sv10.5w-015,0,0.15146588
sv07-088,0,0.15113983
sv02-213,0,0.15111932
sv07-067,0,0.15109332
svp-094,0,0.15089755
sv10.5w-050,0,0.15076005
sv10.5w-167,0,0.1505981
sv03.5-144,0,0.15043168
sv02-089,0,0.15023348
svp-171,0,0.14999121
sv02-063,0,0.14944653
sv05-019,0,0.14929573
sv02-059,0,0.14899823
svp-148,0,0.14871858
swsh5-44,0,0.14834292
sv03.5-103,0,0.14833757
sv03.5-183,0,0.14791788
sv05-076,0,0.14788362
sv03.5-139,0,0.14774235
sv02-275,0,0.14769796
sv02-073,0,0.14758351
svp-128,0,0.14756171
sv10.5w-022,0,0.14749114
sv03.5-008,0,0.14711384
svp-163,0,0.14709058
sv07-162,0,0.14708132
svp-152,0,0.14649759
swsh5-147,0,0.14610316
sv07-057,0,0.14602983
swsh5-53,0,0.14596547
sv05-207,0,0.14567468
sv05-185,0,0.14556086
svp-165,0,0.14449899
sv10.5w-166,0,0.14407045
svp-188,0,0.14401239
sv03.5-189,0,0.14392316
svp-123,0,0.14295906
svp-149,0,0.14260389
sv10.5w-045,0,0.14242782
sv10.5w-145,0,0.14225985
sv03.5-018,0,0.14197403
sv05-025,0,0.14169902
swsh5-22,0,0.14153923
sv10.5w-049,0,0.14119287
sv10.5w-024,0,0.14087974
sv07-021,0,0.14083865
swsh5-118,0,0.14083019
sv10.5w-034,0,0.14052728
swsh5-107,0,0.14026946
sv10.5w-103,0,0.14016879
svp-047,0,0.1400686
swsh5-37,0,0.13880163
svp-144,0,0.13874103
sv05-093,0,0.13809867
svp-018,0,0.13809153
sv03.5-049,0,0.13800955
sv03.5-037,0,0.13798386
sv05-213,0,0.13795322
sv07-157,0,0.13784245
sv07-106,0,0.1373916
sv02-117,0,0.13727011
sv10.5w-130,0,0.13666697
svp-031,0,0.13660645
swsh5-152,0,0.13630642
sv07-037,0,0.13585533
sv05-001,0,0.13574532
svp-064,0,0.13562988
svp-100,0,0.1356027
swsh5-19,0,0.1353434
sv02-015,0,0.13522406
sv05-139,0,0.13454384
sv03.5-134,0,0.1343018
sv05-081,0,0.13159436
sv02-242,0,0.1315268
svp-052,0,0.13112307
sv07-036,0,0.13096234
sv10.5w-073,0,0.13080522
sv03.5-169,0,0.13080159
sv05-062,0,0.1294498
sv07-016,0,0.12938356
svp-082,0,0.12933838
sv02-194,0,0.12933683
svp-158,0,0.12923618
sv05-194,0,0.12905824
sv02-040,0,0.12904029
svp-054,0,0.12896934
sv05-099,0,0.12876704
sv03.5-149,0,0.12851709
swsh5-16,0,0.12849624
sv07-028,0,0.12830848
sv07-023,0,0.1276765
sv02-043,0,0.12763634
sv02-223,0,0.12763451
sv07-093,0,0.12757795
svp-057,0,0.1275348
sv05-074,0,0.12630798
sv07-051,0,0.12615962
svp-058,0,0.126057
sv05-101,0,0.12492265
svp-166,0,0.12389571
svp-133,0,0.12378336
swsh5-26,0,0.1235453
